Gene	Grantham_Distance	Stop_Codon_Alt	Missense_Count	Homolog	Homolog_Description	Homolog_Symbol	Haploblock
Ha412HOChr01g0002771	125	0	1	AT1G03250	R3H domain protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002801	0	0	0	AT3G17270	F-box/associated interaction domain protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002821	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0002831	186	0	3	AT1G03260	SNARE associated Golgi protein family;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002851	94	0	1	NA	NA	NA	ANN_01_01
Ha412HOChr01g0002871	788	0	9	AT1G03290	ELKS/Rab6-interacting/CAST family protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002881	0	0	0	AT2G48150	Encodes glutathione peroxidase.	GLUTATHIONE PEROXIDASE 4 (GPX4)	ANN_01_01
Ha412HOChr01g0002901	0	0	0	AT2G38320	Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).TBL34 are required only for xylan 3-O-monoacetylation and 2,3-di-O-acetylation. This biochemical phenotype can be observed in tbl34 esk1, double mutant and tbl34 tbl35 esk1 triple mutants.	TRICHOME BIREFRINGENCE-LIKE 34 (TBL34)	ANN_01_01
Ha412HOChr01g0002921	0	0	0	AT2G38320	Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).TBL34 are required only for xylan 3-O-monoacetylation and 2,3-di-O-acetylation. This biochemical phenotype can be observed in tbl34 esk1, double mutant and tbl34 tbl35 esk1 triple mutants.	TRICHOME BIREFRINGENCE-LIKE 34 (TBL34)	ANN_01_01
Ha412HOChr01g0002931	0	0	0	AT2G38320	Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).TBL34 are required only for xylan 3-O-monoacetylation and 2,3-di-O-acetylation. This biochemical phenotype can be observed in tbl34 esk1, double mutant and tbl34 tbl35 esk1 triple mutants.	TRICHOME BIREFRINGENCE-LIKE 34 (TBL34)	ANN_01_01
Ha412HOChr01g0002941	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0002951	53	0	1	AT2G48120	The pale cress (pac) mutant affects chloroplast and leaf development; mutants are ABA-deficient and accumulate lower levels of carotenoids and chlorophyll compared to wild type. PAC binds 23srRNA and appears to be required for  50s ribosome assembly. Three alternative transcripts of this gene exist.PAC is essential for photoautotrophic growth and associates with psbK-psbI, ndhF, ndhD, and 23S ribosomal RNA in vivo(PMID:28805278)	PALE CRESS (PAC)	ANN_01_01
Ha412HOChr01g0002961	0	0	0	AT1G03330	Small nuclear ribonucleoprotein family protein;(source:Araport11)	SM-LIKE 2 (LSM2)	ANN_01_01
Ha412HOChr01g0002981	0	0	0	AT3G06190	Encodes a member of the MATH-BTB domain proteins (BPMs) that directly interact with and target for proteasomal degradation the class I homeobox-leucine zipper (HD-ZIP) transcription factor ATHB6. Known members include AT5G19000 (BPM1), AT3G06190 (BPM2), AT2G39760 (BPM3), AT3G03740 (BPM4), AT5G21010 (BPM5) and AT3G43700 (BPM6).	BTB-POZ AND MATH DOMAIN 2 (BPM2)	ANN_01_01
Ha412HOChr01g0003001	0	0	0	AT4G02930	GTP binding Elongation factor Tu family protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003061	0	0	0	AT1G66570	sucrose-proton symporter 7;(source:Araport11)	SUCROSE-PROTON SYMPORTER 7 (SUC7)	ANN_01_01
Ha412HOChr01g0003121	25	0	2	AT4G02940	ALKBH10B is a functional RNA N6-methyladenosine demethylase. Reduction in ALKBH10B decreases m6A levels, and affects the stability of flowering time genes including FT, SPL3 and SPL9.  Mutant plants are early flowering.	ATALKBH10B (ALKBH10B)	ANN_01_01
Ha412HOChr01g0003141	423	0	5	AT1G03350	BSD domain-containing protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003151	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003161	0	0	0	AT3G06260	Encodes a protein with  putative galacturonosyltransferase activity.	GALACTURONOSYLTRANSFERASE-LIKE 4 (GATL4)	ANN_01_01
Ha412HOChr01g0003171	0	0	0	AT2G48030	DNAse I-like superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003181	86	0	2	AT2G48020	Encodes a zinc transporter ZIF2. Expression of ZIF2 is regulated by alternative splicing.	ZINC-INDUCED FACILITATOR 2 (ZIF2)	ANN_01_01
Ha412HOChr01g0003191	89	0	1	AT5G35960	Protein kinase family protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003201	72	0	2	AT4G02830	hypothetical protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003211	0	0	0	AT3G63150	Encodes a calcium binding GTPases that is localized to the mitochondrion and is involved in salt stress response.	MIRO-RELATED GTP-ASE 2 (MIRO2)	ANN_01_01
Ha412HOChr01g0003221	72	0	2	AT1G03170	A member of the FAF family proteins encoded by the FANTASTIC FOUR (FAF) genes:   AT4G02810 (FAF1), AT1G03170 (FAF2), AT5G19260 (FAF3) and AT3G06020 (FAF4).  FAFs have the potential to regulate shoot meristem size in Arabidopsis thaliana. FAFs can repress WUS, which ultimately leads to an arrest of meristem activity in FAF overexpressing lines.	FANTASTIC FOUR 2 (FAF2)	ANN_01_01
Ha412HOChr01g0003241	89	0	1	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003251	183	0	3	AT3G63130	Encodes a RAN GTPase activating protein involved in nuclear import, cell plate formation and mitotic spindle formation. Associates with nuclear envelope membranes.	RAN GTPASE ACTIVATING PROTEIN 1 (RANGAP1)	ANN_01_01
Ha412HOChr01g0003261	170	0	2	AT3G63120	cyclin p1;(source:Araport11)	CYCLIN P1;1 (CYCP1;1)	ANN_01_01
Ha412HOChr01g0003271	0	0	0	AT5G19330	Encodes an armadillo repeat protein involved in the abscisic acid response.  The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements.	ARM REPEAT PROTEIN INTERACTING WITH  ABF2 (ARIA)	ANN_01_01
Ha412HOChr01g0003281	477	0	6	AT5G19330	Encodes an armadillo repeat protein involved in the abscisic acid response.  The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements.	ARM REPEAT PROTEIN INTERACTING WITH  ABF2 (ARIA)	ANN_01_01
Ha412HOChr01g0003301	0	0	0	AT5G18630	alpha/beta-Hydrolases superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003311	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003321	26	0	1	AT2G37660	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003331	154	0	2	AT5G26330	Cupredoxin superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003341	109	0	2	AT5G26330	Cupredoxin superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003351	0	0	0	AT3G63170	Encodes a plastid stroma localized fatty acid binding protein involved in fatty acid metabolism.	FATTY-ACID-BINDING PROTEIN 1 (FAP1)	ANN_01_01
Ha412HOChr01g0003361	0	0	0	AT1G24020	MLP-like protein 423;(source:Araport11)	MLP-LIKE PROTEIN 423 (MLP423)	ANN_01_01
Ha412HOChr01g0003371	0	0	0	AT5G51570	SPFH/Band 7/PHB domain-containing membrane-associated protein family;(source:Araport11)	HYPERSENSITIVE INDUCED REACTION 3 (HIR3)	ANN_01_01
Ha412HOChr01g0003391	0	0	0	AT1G03140	PRP18a is one of two paralogs (the other being PRP18b) which are highly similar to the step II splicing factors in yeast. Loss of function mutations show defects in alternative splicing, mostly intron retention events.	PRE-MRNA PROCESSING  FACTOR 18A (PRP18A)	ANN_01_01
Ha412HOChr01g0003401	167	0	2	AT4G02760	RNI-like superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003411	0	0	0	AT5G18970	AWPM-19-like family protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003421	225	0	4	AT3G04860	hypothetical protein (DUF868);(source:Araport11)		ANN_01_01
Ha412HOChr01g0003431	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003441	210	0	2	AT4G02720	Encodes an ortholog of NKAP (NF-kB activating protein), that interacts with splicing and ribosome biogenesis proteins, colocalizes with the 45S rDNA at the nucleolar organizer regions (NORs) and negatively regulates 45S rDNA expression.	MORPHOLOGY OF AGO1-52 SUPPRESSED2 (MAS2)	ANN_01_01
Ha412HOChr01g0003451	0	0	0	AT5G28060	Ribosomal protein S24e family protein;(source:Araport11)	(RPS24B)	ANN_01_01
Ha412HOChr01g0003471	0	0	0	AT4G09800	encodes a ribosomal protein S18C, a constituent of the small subunit of the ribosomal complex	S18 RIBOSOMAL PROTEIN (RPS18C)	ANN_01_01
Ha412HOChr01g0003481	0	0	0	AT4G14860	ovate family protein 11;(source:Araport11)	OVATE FAMILY PROTEIN 11 (OFP11)	ANN_01_01
Ha412HOChr01g0003491	22	0	1	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003501	0	0	0	AT4G14830	17.6 kDa class II heat shock protein;(source:Araport11)	HEAT SHOCK PROTEIN 20-LIKE PROTEIN 1 (HSP1)	ANN_01_01
Ha412HOChr01g0003511	104	0	3	AT3G22600	Glycosylphosphatidylinositol (GPI)-anchored LTPg protein, downregulated in syncytia induced by the beet cyst nematode Heterodera schachtii and root knot nematode Meloidogyne incognita. Infection with bacteria (Pseudomonas syringae) and fungi (Botrytis cinerea) leads to the induction of the gene in leaves.	GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED LIPID PROTEIN TRANSFER 5 (LTPG5)	ANN_01_01
Ha412HOChr01g0003521	205	0	4	AT3G22600	Glycosylphosphatidylinositol (GPI)-anchored LTPg protein, downregulated in syncytia induced by the beet cyst nematode Heterodera schachtii and root knot nematode Meloidogyne incognita. Infection with bacteria (Pseudomonas syringae) and fungi (Botrytis cinerea) leads to the induction of the gene in leaves.	GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED LIPID PROTEIN TRANSFER 5 (LTPG5)	ANN_01_01
Ha412HOChr01g0003531	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003541	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003551	0	0	0	AT2G48130	Encodes a plasma membrane-localized glycosylphosphatidylinositol-anchored lipid transfer protein expressed in root endodermis and seed coats that is involved in very long chain fatty acid (and their derivatives) transport.	GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED LIPID PROTEIN TRANSFER 15 (LTPG15)	ANN_01_01
Ha412HOChr01g0003571	0	0	0	AT5G23535	KOW domain-containing protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003581	134	0	2	AT3G63240	DNAse I-like superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003601	0	0	0	AT5G26110	Protein kinase superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003611	0	0	0	AT3G63250	Encodes a homocysteine methyltransferase (HMT). Among the three HMT coding genes in the genome, HMT2 is responsible for a significant proportion of HMT activity in the flower stalks and silique hulls. However, HMT2 does not significantly contribute to the total HMT activity in seeds.	HOMOCYSTEINE METHYLTRANSFERASE 2 (HMT2)	ANN_01_01
Ha412HOChr01g0003621	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003631	0	0	0	AT3G22750	Protein kinase superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0003671	0	0	0	AT5G08020	Encodes a homolog of Replication Protein A. rpa70b mutants are hypersensitive to UV-B radiation and MMS treatments suggesting a role for this protein in DNA damage repair. The mRNA is cell-to-cell mobile.	RPA70-KDA SUBUNIT B (RPA70B)	ANN_01_01
Ha412HOChr01g0003711	81	0	1	AT1G03090	MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion.	(MCCA)	ANN_01_01
Ha412HOChr01g0003741	0	0	0	AT5G62670	H[+]-ATPase 11;(source:Araport11)	H(+)-ATPASE 11 (HA11)	ANN_01_01
Ha412HOChr01g0003751	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003761	618	0	10	AT1G03080	kinase interacting (KIP1-like) family protein;(source:Araport11)	NETWORKED 1D (NET1D)	ANN_01_01
Ha412HOChr01g0003771	0	0	0	AT3G04810	Encodes AtNek2, a member of the NIMA-related serine/threonine kinases (Neks) that have been linked to cell-cycle regulation in fungi and mammals.  Plant Neks might be involved in plant development processes.	NIMA-RELATED KINASE 2 (NEK2)	ANN_01_01
Ha412HOChr01g0003791	0	0	0	AT3G22810	FORKED-LIKE family member, part of Group 1 (FKD1, FL1-FL3; Group 2 consists of FL4 and FL8 and Group 3 consists of FL5- FL7). May coordinate leaf size with vein density, where Group 1 members and Group 3 members have opposing functions.	FORKED-LIKE2 (FL2)	ANN_01_01
Ha412HOChr01g0003861	210	0	2	AT1G19670	Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.	CHLOROPHYLLASE 1 (CLH1)	ANN_01_01
Ha412HOChr01g0003871	187	0	3	AT1G19670	Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.	CHLOROPHYLLASE 1 (CLH1)	ANN_01_01
Ha412HOChr01g0003881	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003891	0	0	0	AT4G14720	PPD2 (and its paralog, PPD1) encode plant-specific putative DNA-binding proteins.  Deletion of the PPD locus increases leaf lamina size and results in dome-shaped rather than flat leaves. Siliques are also altered in shape because of extra lamina growth.	(PPD2)	ANN_01_01
Ha412HOChr01g0003901	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003911	74	0	2	AT4G02680	Encodes a paralog of ETO1, which is a negative regulator of ACS5 (a key enzyme in ethylene biosynthesis pathway). EOL1 also interacts with and inhibits the activity of ACS5.	ETO1-LIKE 1 (EOL1)	ANN_01_01
Ha412HOChr01g0003921	64	0	1	AT3G22830	member of Heat Stress Transcription Factor (Hsf) family	HEAT SHOCK TRANSCRIPTION FACTOR  A6B (HSFA6B)	ANN_01_01
Ha412HOChr01g0003931	169	0	3	AT4G02670	indeterminate(ID)-domain 12;(source:Araport11)	INDETERMINATE(ID)-DOMAIN 12 (IDD12)	ANN_01_01
Ha412HOChr01g0003941	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0003951	278	0	4	AT1G03060	Encodes a WD/BEACH domain protein involved in cell morphogenesis and ribonucleoprotein particle formation.  It interacts with the P-body core component DCP2, associates to mRNA processing bodies (P-bodies), and regulates their assembly upon salt stress.	SPIRRIG (SPI)	ANN_01_01
Ha412HOChr01g0003971	0	0	0	AT3G07100	Encodes SEC24a/ERMO2.  Required for endoplasmic reticulum (ER) morphology. Has epistatic interactions with AT1G55350, AT3G59420, and AT3G10525.	ENDOPLASMIC RETICULUM MORPHOLOGY 2 (ERMO2)	ANN_01_01
Ha412HOChr01g0004001	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr05g0231101	89	0	1	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231111	0	0	0	AT5G05260	Encodes cytochrome P450 CYP79A2.	CYTOCHROME P450 79A2 (CYP79A2)	ANN_05_01
Ha412HOChr05g0231131	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231151	0	0	0	AT5G01320	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231161	543	0	6	AT4G33070	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)	PYRUVATE DECARBOXYLASE 1 (PDC1)	ANN_05_01
Ha412HOChr05g0231241	655	0	7	AT4G36810	Encodes a protein with geranylgeranyl pyrophosphate synthase activity involved in isoprenoid biosynthesis. The enzyme appears to be targeted to the chloroplast in epidermal cells and guard cells of leaves, and in etioplasts in roots. The mRNA is cell-to-cell mobile.	GERANYLGERANYL PYROPHOSPHATE SYNTHASE 1 (GGPS1)	ANN_05_01
Ha412HOChr05g0231281	0	0	0	AT2G23780	Leucine rich extensin protein involved in cell wall biogenesis and organization. Interacts with several members of the RALF family of ligand peptides.	LEUCINE-RICH REPEAT EXTENSIN 4 (LRX4)	ANN_05_01
Ha412HOChr05g0231291	0	0	0	AT3G04920	Ribosomal protein S24e family protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231301	81	0	1	AT1G19300	The PARVUS/GLZ1 gene encodes a putative family 8 glycosyl transferase that contributes to xylan biosynthesis. Its gene expression shows good co-variance with the IRX3 gene involved in secondary cell wall synthesis. PARVUS/GLZ1 is predicted to have galacturonosyltransferase activity and may be involved in the formation of the complex oligosaccharide sequence present at the reducing end of xylan. PARVUS is expressed in cells undergoing secondary wall thickening, and parvus mutants have thinner cell walls.	PARVUS (PARVUS)	ANN_05_01
Ha412HOChr05g0231311	226	0	4	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231321	0	0	0	AT1G19270	Encodes a ubiquitin-activated peptidase that is a member of a small (7 member) ubiquitin binding protein family. It appears to play a role in regulation of endoreduplication in leaf epidermal tissue. Together with CUC2/CUC3-UBP15 part of a regulatory module which controls the initiation of  axillary meristems, thereby determining plant architecture.	DA (LARGE IN CHINESE) 1 (DA1)	ANN_05_01
Ha412HOChr05g0231331	60	0	2	AT5G05260	Encodes cytochrome P450 CYP79A2.	CYTOCHROME P450 79A2 (CYP79A2)	ANN_05_01
Ha412HOChr05g0231351	0	0	0	AT2G22330	Encodes a cytochrome P450. Involved in tryptophan metabolism. Converts Trp to indole-3-acetaldoxime (IAOx), a precursor to IAA and indole glucosinolates. The mRNA is cell-to-cell mobile.	CYTOCHROME P450, FAMILY 79, SUBFAMILY B, POLYPEPTIDE 3 (CYP79B3)	ANN_05_01
Ha412HOChr05g0231361	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231371	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231381	0	0	0	AT4G31940	The gene encodes a cytochrome P450 enzyme, CYP82C. It is involved in the early Fe deficiency response.CYP82C4 hydroxylates fraxetin to generate sideretin (5-hydroxyfraxetin). Fraxetin and sideretin are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.The mRNA is cell-to-cell mobile.	CYTOCHROME P450, FAMILY 82, SUBFAMILY C, POLYPEPTIDE 4 (CYP82C4)	ANN_05_01
Ha412HOChr05g0231411	0	0	0	AT4G31940	The gene encodes a cytochrome P450 enzyme, CYP82C. It is involved in the early Fe deficiency response.CYP82C4 hydroxylates fraxetin to generate sideretin (5-hydroxyfraxetin). Fraxetin and sideretin are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.The mRNA is cell-to-cell mobile.	CYTOCHROME P450, FAMILY 82, SUBFAMILY C, POLYPEPTIDE 4 (CYP82C4)	ANN_05_01
Ha412HOChr05g0231421	0	0	0	AT4G31970	Functions in the biosynthesis of 4-hydroxy indole-3-carbonyl nitrile (4-OH-ICN), a cyanogenic phytoalexin in Arabidopsis. CYP82C2 acts as a hydroxylase on indole-3-carbonyl nitrile to generate 4-OH-ICN.	CYTOCHROME P450, FAMILY 82, SUBFAMILY C, POLYPEPTIDE 2 (CYP82C2)	ANN_05_01
Ha412HOChr05g0231441	0	0	0	AT4G31940	The gene encodes a cytochrome P450 enzyme, CYP82C. It is involved in the early Fe deficiency response.CYP82C4 hydroxylates fraxetin to generate sideretin (5-hydroxyfraxetin). Fraxetin and sideretin are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.The mRNA is cell-to-cell mobile.	CYTOCHROME P450, FAMILY 82, SUBFAMILY C, POLYPEPTIDE 4 (CYP82C4)	ANN_05_01
Ha412HOChr05g0231461	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231471	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231481	0	0	0	AT5G35810	Ankyrin repeat family protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231491	0	0	0	AT5G26310	UGT72E3 is an UDPG:coniferyl alcohol glucosyltransferase which glucosylates sinapyl- and coniferyl alcohol as well as sinapic acid. The enzyme is thought to be involved in lignin- and phenylpropanoid metabolism. A knockdown mutant line (72E3KD) was obtained using RNAi silencing. No reduction in coniferyl alcohol 4-<i>O</i>-glucoside and sinapyl alcohol 4-<i>O</i>-glucoside was detected in this line compared to wildtype, in contrast with the knockdown line constructed for UGT72E2 displayed a twofold reduction in the these phenylpropanoid 4-<i>O</i>-glucosides. Can influence the kinetics of lignin deposition by regulating monolignol flow to the cell wall as well as the potential of this compartment to incorporate monomers into the growing lignin polymer.	(UGT72E3)	ANN_05_01
Ha412HOChr05g0231501	0	0	0	AT2G38700	Encodes mevalonate diphosphate decarboxylase, the enzyme that catalyzes the synthesis of isopentenyl diphosphate, used in sterol and isoprenoid biosynthesis. The protein appears to form a homodimeric complex. Incidentally, it was shown that the Arabidopsis MVD protein could also interact with its yeast homolog to form a heterodimer.	MEVALONATE DIPHOSPHATE DECARBOXYLASE 1 (MVD1)	ANN_05_01
Ha412HOChr05g0231511	0	0	0	AT5G26310	UGT72E3 is an UDPG:coniferyl alcohol glucosyltransferase which glucosylates sinapyl- and coniferyl alcohol as well as sinapic acid. The enzyme is thought to be involved in lignin- and phenylpropanoid metabolism. A knockdown mutant line (72E3KD) was obtained using RNAi silencing. No reduction in coniferyl alcohol 4-<i>O</i>-glucoside and sinapyl alcohol 4-<i>O</i>-glucoside was detected in this line compared to wildtype, in contrast with the knockdown line constructed for UGT72E2 displayed a twofold reduction in the these phenylpropanoid 4-<i>O</i>-glucosides. Can influence the kinetics of lignin deposition by regulating monolignol flow to the cell wall as well as the potential of this compartment to incorporate monomers into the growing lignin polymer.	(UGT72E3)	ANN_05_01
Ha412HOChr05g0231521	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231541	0	0	0	AT4G33070	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)	PYRUVATE DECARBOXYLASE 1 (PDC1)	ANN_05_01
Ha412HOChr05g0231551	557	0	9	AT5G01320	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231561	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231581	0	0	0	ATCG00020	Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core	PHOTOSYSTEM II REACTION CENTER PROTEIN A (PSBA)	ANN_05_01
Ha412HOChr05g0231621	167	0	2	AT1G19360	Encodes an arabinosyltransferase that modifies extensin proteins in root hair cells.	REDUCED RESIDUAL ARABINOSE 3 (RRA3)	ANN_05_01
Ha412HOChr05g0231631	325	0	5	AT4G16580	Protein phosphatase 2C family protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231641	337	0	3	AT1G45160	Protein kinase superfamily protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231651	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231661	58	0	1	AT1G75140	membrane protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231671	0	0	0	AT2G18500	ovate family protein 7;(source:Araport11)	OVATE FAMILY PROTEIN 7 (OFP7)	ANN_05_01
Ha412HOChr05g0231681	0	0	0	AT2G05642	Nucleic acid-binding, OB-fold-like protein;(source:Araport11)		ANN_05_01
Ha412HOChr05g0231691	0	0	0	AT4G36660	polyol transporter, putative (DUF1195);(source:Araport11)		ANN_05_01
Ha412HOChr05g0231701	203	0	2	AT3G46940	DUTP-PYROPHOSPHATASE-LIKE 1;(source:Araport11)	DUTP-PYROPHOSPHATASE-LIKE 1 (DUT1)	ANN_05_01
Ha412HOChr05g0231721	692	0	10	AT5G42710	hypothetical protein;(source:Araport11)	TON1 RECRUITING MOTIF 30 (TRM30)	ANN_05_01
Ha412HOChr05g0231741	0	0	0	NA	NA	NA	ANN_05_01
Ha412HOChr05g0231751	0	0	0	NA	NA	NA	ANN_05_01
