Gene	Fixed_count	Poly_count	p	Haplotype	Gene_fixed_poly_ratio	Haplotype_fixed_poly_ratio	Haploblock	Direction	pAdj	Homolog	Annotation
Ha412HOChr01g0003141	0	52	0.0353709951031612	2	0	0.106366459627329	Ann_01_01	Poly	0.254802955710092	AT1G03350	BSD domain-containing protein;(source:Araport11)
Ha412HOChr01g0003141	0	26	0.114508843967213	0	0	0.136942675159236	Ann_01_01	Poly	0.547605682402662	AT1G03350	BSD domain-containing protein;(source:Araport11)
Ha412HOChr01g0003151	0	20	0.1917548616077	0	0	0.136942675159236	Ann_01_01	Poly	0.726704244733323	NA	NA
Ha412HOChr01g0003151	0	15	0.412148180182035	2	0	0.106366459627329	Ann_01_01	Poly	0.947529772888771	NA	NA
Ha412HOChr01g0003161	0	9	0.682303212612115	2	0	0.106366459627329	Ann_01_01	Poly	1	AT3G06260	Encodes a protein with  putative galacturonosyltransferase activity.
Ha412HOChr01g0003161	0	8	0.616842967275347	0	0	0.136942675159236	Ann_01_01	Poly	1	AT3G06260	Encodes a protein with  putative galacturonosyltransferase activity.
Ha412HOChr01g0003171	0	25	0.199025423005861	2	0	0.106366459627329	Ann_01_01	Poly	0.734971579042285	AT2G48030	DNAse I-like superfamily protein;(source:Araport11)
Ha412HOChr01g0003171	0	24	0.135600217401597	0	0	0.136942675159236	Ann_01_01	Poly	0.604252715982507	AT2G48030	DNAse I-like superfamily protein;(source:Araport11)
Ha412HOChr01g0003181	0	21	0.175632845770273	0	0	0.136942675159236	Ann_01_01	Poly	0.698480242947894	AT2G48020	Encodes a zinc transporter ZIF2. Expression of ZIF2 is regulated by alternative splicing.
Ha412HOChr01g0003181	1	14	1	2	0.0714285714285714	0.106366459627329	Ann_01_01	Poly	1	AT2G48020	Encodes a zinc transporter ZIF2. Expression of ZIF2 is regulated by alternative splicing.
Ha412HOChr01g0003191	2	16	0.999999999999995	2	0.125	0.106366459627329	Ann_01_01	Fixed	1	AT5G35960	Protein kinase family protein;(source:Araport11)
Ha412HOChr01g0003191	0	17	0.251029962808811	0	0	0.136942675159236	Ann_01_01	Poly	0.815252279650288	AT5G35960	Protein kinase family protein;(source:Araport11)
Ha412HOChr01g0003201	0	22	0.161001658894049	0	0	0.136942675159236	Ann_01_01	Poly	0.66542200027939	AT4G02830	hypothetical protein;(source:Araport11)
Ha412HOChr01g0003201	0	33	0.116523337938074	2	0	0.106366459627329	Ann_01_01	Poly	0.554052063412808	AT4G02830	hypothetical protein;(source:Araport11)
Ha412HOChr01g0003211	26	21	8.95440634307328e-22	2	1.23809523809524	0.106366459627329	Ann_01_01	Fixed	3.35426465107561e-19	AT3G63150	Encodes a calcium binding GTPases that is localized to the mitochondrion and is involved in salt stress response.
Ha412HOChr01g0003211	16	28	5.87288312747372e-06	0	0.571428571428571	0.136942675159236	Ann_01_01	Fixed	0.000175995625122569	AT3G63150	Encodes a calcium binding GTPases that is localized to the mitochondrion and is involved in salt stress response.
Ha412HOChr01g0003221	0	16	0.381444871590274	2	0	0.106366459627329	Ann_01_01	Poly	0.928025101634384	AT1G03170	A member of the FAF family proteins encoded by the FANTASTIC FOUR (FAF) genes:   AT4G02810 (FAF1), AT1G03170 (FAF2), AT5G19260 (FAF3) and AT3G06020 (FAF4).  FAFs have the potential to regulate shoot meristem size in Arabidopsis thaliana. FAFs can repress WUS, which ultimately leads to an arrest of meristem activity in FAF overexpressing lines.
Ha412HOChr01g0003221	0	22	0.161001658894049	0	0	0.136942675159236	Ann_01_01	Poly	0.66542200027939	AT1G03170	A member of the FAF family proteins encoded by the FANTASTIC FOUR (FAF) genes:   AT4G02810 (FAF1), AT1G03170 (FAF2), AT5G19260 (FAF3) and AT3G06020 (FAF4).  FAFs have the potential to regulate shoot meristem size in Arabidopsis thaliana. FAFs can repress WUS, which ultimately leads to an arrest of meristem activity in FAF overexpressing lines.
Ha412HOChr01g0003251	0	20	0.1917548616077	0	0	0.136942675159236	Ann_01_01	Poly	0.726704244733323	AT3G63130	Encodes a RAN GTPase activating protein involved in nuclear import, cell plate formation and mitotic spindle formation. Associates with nuclear envelope membranes.
Ha412HOChr01g0003251	0	16	0.381444871590274	2	0	0.106366459627329	Ann_01_01	Poly	0.928025101634384	AT3G63130	Encodes a RAN GTPase activating protein involved in nuclear import, cell plate formation and mitotic spindle formation. Associates with nuclear envelope membranes.
Ha412HOChr01g0003261	0	18	0.229226147733082	0	0	0.136942675159236	Ann_01_01	Poly	0.787767727315496	AT3G63120	cyclin p1;(source:Araport11)
Ha412HOChr01g0003261	0	20	0.28320331980997	2	0	0.106366459627329	Ann_01_01	Poly	0.845518852941994	AT3G63120	cyclin p1;(source:Araport11)
Ha412HOChr01g0003271	0	21	0.175632845770273	0	0	0.136942675159236	Ann_01_01	Poly	0.698480242947894	AT5G19330	Encodes an armadillo repeat protein involved in the abscisic acid response.  The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements.
Ha412HOChr01g0003271	0	11	0.571332506780316	2	0	0.106366459627329	Ann_01_01	Poly	1	AT5G19330	Encodes an armadillo repeat protein involved in the abscisic acid response.  The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements.
Ha412HOChr01g0003281	0	26	0.114508843967213	0	0	0.136942675159236	Ann_01_01	Poly	0.547605682402662	AT5G19330	Encodes an armadillo repeat protein involved in the abscisic acid response.  The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements.
Ha412HOChr01g0003281	0	12	0.524950428677049	2	0	0.106366459627329	Ann_01_01	Poly	1	AT5G19330	Encodes an armadillo repeat protein involved in the abscisic acid response.  The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements.
Ha412HOChr01g0003321	1	13	0.881982191725557	0	0.0769230769230769	0.136942675159236	Ann_01_01	Poly	1	AT2G37660	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)
Ha412HOChr01g0003321	1	10	0.999999999999998	2	0.1	0.106366459627329	Ann_01_01	Poly	1	AT2G37660	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)
Ha412HOChr01g0003331	1	9	0.999999999999999	2	0.111111111111111	0.106366459627329	Ann_01_01	Fixed	1	AT5G26330	Cupredoxin superfamily protein;(source:Araport11)
Ha412HOChr01g0003331	0	14	0.332345104721896	0	0	0.136942675159236	Ann_01_01	Poly	0.898268493867277	AT5G26330	Cupredoxin superfamily protein;(source:Araport11)
Ha412HOChr01g0003341	0	18	0.327974387253556	2	0	0.106366459627329	Ann_01_01	Poly	0.894319604187528	AT5G26330	Cupredoxin superfamily protein;(source:Araport11)
Ha412HOChr01g0003341	2	28	0.538739546702666	0	0.0714285714285714	0.136942675159236	Ann_01_01	Poly	1	AT5G26330	Cupredoxin superfamily protein;(source:Araport11)
Ha412HOChr01g0003351	0	10	0.496048847539682	0	0	0.136942675159236	Ann_01_01	Poly	1	AT3G63170	Encodes a plastid stroma localized fatty acid binding protein involved in fatty acid metabolism.
Ha412HOChr01g0003351	0	17	0.35349262110212	2	0	0.106366459627329	Ann_01_01	Poly	0.91430408039936	AT3G63170	Encodes a plastid stroma localized fatty acid binding protein involved in fatty acid metabolism.
Ha412HOChr01g0003391	0	25	0.199025423005861	2	0	0.106366459627329	Ann_01_01	Poly	0.734971579042285	AT1G03140	PRP18a is one of two paralogs (the other being PRP18b) which are highly similar to the step II splicing factors in yeast. Loss of function mutations show defects in alternative splicing, mostly intron retention events.
Ha412HOChr01g0003391	2	17	0.999999999999968	0	0.117647058823529	0.136942675159236	Ann_01_01	Poly	1	AT1G03140	PRP18a is one of two paralogs (the other being PRP18b) which are highly similar to the step II splicing factors in yeast. Loss of function mutations show defects in alternative splicing, mostly intron retention events.
Ha412HOChr01g0003401	5	22	0.470088686254971	0	0.227272727272727	0.136942675159236	Ann_01_01	Fixed	0.986912667675559	AT4G02760	RNI-like superfamily protein;(source:Araport11)
Ha412HOChr01g0003401	7	21	0.0173599965506401	2	0.333333333333333	0.106366459627329	Ann_01_01	Fixed	0.149815895358188	AT4G02760	RNI-like superfamily protein;(source:Araport11)
Ha412HOChr01g0003411	0	10	0.6234105247603	2	0	0.106366459627329	Ann_01_01	Poly	1	AT5G18970	AWPM-19-like family protein;(source:Araport11)
Ha412HOChr01g0003421	2	21	0.867378834288406	0	0.0952380952380952	0.136942675159236	Ann_01_01	Poly	1	AT3G04860	hypothetical protein (DUF868);(source:Araport11)
Ha412HOChr01g0003421	5	27	0.405135481556158	2	0.185185185185185	0.106366459627329	Ann_01_01	Fixed	0.944866813842151	AT3G04860	hypothetical protein (DUF868);(source:Araport11)
Ha412HOChr01g0003441	0	20	0.28320331980997	2	0	0.106366459627329	Ann_01_01	Poly	0.845518852941994	AT4G02720	Encodes an ortholog of NKAP (NF-kB activating protein), that interacts with splicing and ribosome biogenesis proteins, colocalizes with the 45S rDNA at the nucleolar organizer regions (NORs) and negatively regulates 45S rDNA expression.
Ha412HOChr01g0003441	0	17	0.251029962808811	0	0	0.136942675159236	Ann_01_01	Poly	0.815252279650288	AT4G02720	Encodes an ortholog of NKAP (NF-kB activating protein), that interacts with splicing and ribosome biogenesis proteins, colocalizes with the 45S rDNA at the nucleolar organizer regions (NORs) and negatively regulates 45S rDNA expression.
Ha412HOChr01g0003451	0	10	0.496048847539682	0	0	0.136942675159236	Ann_01_01	Poly	1	AT5G28060	Ribosomal protein S24e family protein;(source:Araport11)
Ha412HOChr01g0003481	0	7	0.826971061694073	2	0	0.106366459627329	Ann_01_01	Poly	1	AT4G14860	ovate family protein 11;(source:Araport11)
Ha412HOChr01g0003481	1	9	0.999999999999992	0	0.111111111111111	0.136942675159236	Ann_01_01	Poly	1	AT4G14860	ovate family protein 11;(source:Araport11)
Ha412HOChr01g0003501	0	9	0.552087971980081	0	0	0.136942675159236	Ann_01_01	Poly	1	AT4G14830	17.6 kDa class II heat shock protein;(source:Araport11)
Ha412HOChr01g0003501	0	11	0.571332506780316	2	0	0.106366459627329	Ann_01_01	Poly	1	AT4G14830	17.6 kDa class II heat shock protein;(source:Araport11)
Ha412HOChr01g0003511	0	13	0.366118260275042	0	0	0.136942675159236	Ann_01_01	Poly	0.91430408039936	AT3G22600	Glycosylphosphatidylinositol (GPI)-anchored LTPg protein, downregulated in syncytia induced by the beet cyst nematode Heterodera schachtii and root knot nematode Meloidogyne incognita. Infection with bacteria (Pseudomonas syringae) and fungi (Botrytis cinerea) leads to the induction of the gene in leaves.
Ha412HOChr01g0003521	1	11	0.99999999999992	2	0.0909090909090909	0.106366459627329	Ann_01_01	Poly	1	AT3G22600	Glycosylphosphatidylinositol (GPI)-anchored LTPg protein, downregulated in syncytia induced by the beet cyst nematode Heterodera schachtii and root knot nematode Meloidogyne incognita. Infection with bacteria (Pseudomonas syringae) and fungi (Botrytis cinerea) leads to the induction of the gene in leaves.
Ha412HOChr01g0003521	0	19	0.209549284108581	0	0	0.136942675159236	Ann_01_01	Poly	0.756358707801733	AT3G22600	Glycosylphosphatidylinositol (GPI)-anchored LTPg protein, downregulated in syncytia induced by the beet cyst nematode Heterodera schachtii and root knot nematode Meloidogyne incognita. Infection with bacteria (Pseudomonas syringae) and fungi (Botrytis cinerea) leads to the induction of the gene in leaves.
Ha412HOChr01g0003581	1	16	0.916177170672642	2	0.0625	0.106366459627329	Ann_01_01	Poly	1	AT3G63240	DNAse I-like superfamily protein;(source:Araport11)
Ha412HOChr01g0003581	0	35	0.0548422801594858	0	0	0.136942675159236	Ann_01_01	Poly	0.343507096655078	AT3G63240	DNAse I-like superfamily protein;(source:Araport11)
Ha412HOChr01g0003601	0	9	0.682303212612115	2	0	0.106366459627329	Ann_01_01	Poly	1	AT5G26110	Protein kinase superfamily protein;(source:Araport11)
Ha412HOChr01g0003601	0	8	0.616842967275347	0	0	0.136942675159236	Ann_01_01	Poly	1	AT5G26110	Protein kinase superfamily protein;(source:Araport11)
Ha412HOChr01g0003611	0	17	0.35349262110212	2	0	0.106366459627329	Ann_01_01	Poly	0.91430408039936	AT3G63250	Encodes a homocysteine methyltransferase (HMT). Among the three HMT coding genes in the genome, HMT2 is responsible for a significant proportion of HMT activity in the flower stalks and silique hulls. However, HMT2 does not significantly contribute to the total HMT activity in seeds.
Ha412HOChr01g0003611	0	8	0.616842967275347	0	0	0.136942675159236	Ann_01_01	Poly	1	AT3G63250	Encodes a homocysteine methyltransferase (HMT). Among the three HMT coding genes in the genome, HMT2 is responsible for a significant proportion of HMT activity in the flower stalks and silique hulls. However, HMT2 does not significantly contribute to the total HMT activity in seeds.
Ha412HOChr01g0003631	0	16	0.381444871590274	2	0	0.106366459627329	Ann_01_01	Poly	0.928025101634384	AT3G22750	Protein kinase superfamily protein;(source:Araport11)
Ha412HOChr01g0003631	4	15	0.400865394377174	0	0.266666666666667	0.136942675159236	Ann_01_01	Fixed	0.944866813842151	AT3G22750	Protein kinase superfamily protein;(source:Araport11)
Ha412HOChr01g0003711	29	21	2.15385783092936e-25	2	1.38095238095238	0.106366459627329	Ann_01_01	Fixed	1.12253451388479e-22	AT1G03090	MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion.
Ha412HOChr01g0003711	31	16	4.59461078539595e-25	0	1.9375	0.136942675159236	Ann_01_01	Fixed	2.20302397938165e-22	AT1G03090	MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion.
Ha412HOChr01g0003761	3	91	0.0147081541307923	0	0.032967032967033	0.136942675159236	Ann_01_01	Poly	0.13246179080827	AT1G03080	kinase interacting (KIP1-like) family protein;(source:Araport11)
Ha412HOChr01g0003761	2	117	0.00617936592893659	2	0.0170940170940171	0.106366459627329	Ann_01_01	Poly	0.0678937299634857	AT1G03080	kinase interacting (KIP1-like) family protein;(source:Araport11)
Ha412HOChr01g0003771	1	28	0.25979321526867	0	0.0357142857142857	0.136942675159236	Ann_01_01	Poly	0.821888373766157	AT3G04810	Encodes AtNek2, a member of the NIMA-related serine/threonine kinases (Neks) that have been linked to cell-cycle regulation in fungi and mammals.  Plant Neks might be involved in plant development processes.
Ha412HOChr01g0003771	3	25	0.999999999999997	2	0.12	0.106366459627329	Ann_01_01	Fixed	1	AT3G04810	Encodes AtNek2, a member of the NIMA-related serine/threonine kinases (Neks) that have been linked to cell-cycle regulation in fungi and mammals.  Plant Neks might be involved in plant development processes.
Ha412HOChr01g0003791	0	17	0.35349262110212	2	0	0.106366459627329	Ann_01_01	Poly	0.91430408039936	AT3G22810	FORKED-LIKE family member, part of Group 1 (FKD1, FL1-FL3; Group 2 consists of FL4 and FL8 and Group 3 consists of FL5- FL7). May coordinate leaf size with vein density, where Group 1 members and Group 3 members have opposing functions.
Ha412HOChr01g0003791	2	16	0.99999999999995	0	0.125	0.136942675159236	Ann_01_01	Poly	1	AT3G22810	FORKED-LIKE family member, part of Group 1 (FKD1, FL1-FL3; Group 2 consists of FL4 and FL8 and Group 3 consists of FL5- FL7). May coordinate leaf size with vein density, where Group 1 members and Group 3 members have opposing functions.
Ha412HOChr01g0003861	12	0	4.95662955407368e-18	0	Inf	0.136942675159236	Ann_01_01	Fixed	1.18830236929362e-15	AT1G19670	Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.
Ha412HOChr01g0003861	0	13	0.483395782736473	2	0	0.106366459627329	Ann_01_01	Poly	0.997196380111549	AT1G19670	Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.
Ha412HOChr01g0003871	2	26	0.907753958277303	2	0.0769230769230769	0.106366459627329	Ann_01_01	Poly	1	AT1G19670	Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.
Ha412HOChr01g0003871	10	1	1.53800604833141e-13	0	10	0.136942675159236	Ann_01_01	Fixed	2.27605907424057e-11	AT1G19670	Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.
Ha412HOChr01g0003891	1	10	0.999999999999995	0	0.1	0.136942675159236	Ann_01_01	Poly	1	AT4G14720	PPD2 (and its paralog, PPD1) encode plant-specific putative DNA-binding proteins.  Deletion of the PPD locus increases leaf lamina size and results in dome-shaped rather than flat leaves. Siliques are also altered in shape because of extra lamina growth.
Ha412HOChr01g0003891	2	9	0.655937435773154	2	0.222222222222222	0.106366459627329	Ann_01_01	Fixed	1	AT4G14720	PPD2 (and its paralog, PPD1) encode plant-specific putative DNA-binding proteins.  Deletion of the PPD locus increases leaf lamina size and results in dome-shaped rather than flat leaves. Siliques are also altered in shape because of extra lamina growth.
Ha412HOChr01g0003911	2	31	0.698476050173769	2	0.0645161290322581	0.106366459627329	Ann_01_01	Poly	1	AT4G02680	Encodes a paralog of ETO1, which is a negative regulator of ACS5 (a key enzyme in ethylene biosynthesis pathway). EOL1 also interacts with and inhibits the activity of ACS5.
Ha412HOChr01g0003911	1	20	0.494710734485171	0	0.05	0.136942675159236	Ann_01_01	Poly	1	AT4G02680	Encodes a paralog of ETO1, which is a negative regulator of ACS5 (a key enzyme in ethylene biosynthesis pathway). EOL1 also interacts with and inhibits the activity of ACS5.
Ha412HOChr01g0003921	1	7	0.999999999999959	2	0.142857142857143	0.106366459627329	Ann_01_01	Fixed	1	AT3G22830	member of Heat Stress Transcription Factor (Hsf) family
Ha412HOChr01g0003921	1	13	0.881982191725557	0	0.0769230769230769	0.136942675159236	Ann_01_01	Poly	1	AT3G22830	member of Heat Stress Transcription Factor (Hsf) family
Ha412HOChr01g0003931	0	23	0.228702533318099	2	0	0.106366459627329	Ann_01_01	Poly	0.786193652676813	AT4G02670	indeterminate(ID)-domain 12;(source:Araport11)
Ha412HOChr01g0003931	1	16	0.687470727239142	0	0.0625	0.136942675159236	Ann_01_01	Poly	1	AT4G02670	indeterminate(ID)-domain 12;(source:Araport11)
Ha412HOChr01g0003941	0	7	0.826971061694073	2	0	0.106366459627329	Ann_01_01	Poly	1	NA	NA
Ha412HOChr01g0003951	3	183	0.000456779097058977	2	0.0163934426229508	0.106366459627329	Ann_01_01	Poly	0.00775553971167982	AT1G03060	Encodes a WD/BEACH domain protein involved in cell morphogenesis and ribonucleoprotein particle formation.  It interacts with the P-body core component DCP2, associates to mRNA processing bodies (P-bodies), and regulates their assembly upon salt stress.
Ha412HOChr01g0003951	64	60	2.58664142356243e-31	0	1.06666666666667	0.136942675159236	Ann_01_01	Fixed	2.21471933887449e-28	AT1G03060	Encodes a WD/BEACH domain protein involved in cell morphogenesis and ribonucleoprotein particle formation.  It interacts with the P-body core component DCP2, associates to mRNA processing bodies (P-bodies), and regulates their assembly upon salt stress.
Ha412HOChr01g0003971	1	11	0.99999999999992	2	0.0909090909090909	0.106366459627329	Ann_01_01	Poly	1	AT3G07100	Encodes SEC24a/ERMO2.  Required for endoplasmic reticulum (ER) morphology. Has epistatic interactions with AT1G55350, AT3G59420, and AT3G10525.
Ha412HOChr01g0003971	1	29	0.239998091749229	0	0.0344827586206897	0.136942675159236	Ann_01_01	Poly	0.804891493555639	AT3G07100	Encodes SEC24a/ERMO2.  Required for endoplasmic reticulum (ER) morphology. Has epistatic interactions with AT1G55350, AT3G59420, and AT3G10525.
Ha412HOChr05g0231101	0	97	0.0319541531938404	2	0	0.0579849211788896	Ann_05_01	Poly	0.237026258870399	NA	NA
Ha412HOChr05g0231101	0	106	0.0238652615014073	0	0	0.0578425655976676	Ann_05_01	Poly	0.190588200944283	NA	NA
Ha412HOChr05g0231161	0	28	0.392185515593826	0	0	0.0578425655976676	Ann_05_01	Poly	0.935175606807876	AT4G33070	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)
Ha412HOChr05g0231161	2	6	0.10007974384943	2	0.333333333333333	0.0579849211788896	Ann_05_01	Fixed	0.511371014040697	AT4G33070	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)
